0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:08:45 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:08:46 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:08:47 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:08:47 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:08:48 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:09:35 +0800] "GET /hrsys/resource/js/user.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:09:35 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:09:39 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:09:39 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:00 +0800] "GET /hrsys/index.html HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 200 3521
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:00 +0800] "GET /hrsys/welcome.html HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:02 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:03 +0800] "GET /hrsys/resource/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:03 +0800] "GET /hrsys/resource/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:05 +0800] "GET /hrsys/system/user.html HTTP/1.1" 200 4140
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:05 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 200 114722
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:05 +0800] "GET /hrsys/resource/js/user.js HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:05 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 200 9447
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:06 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:07 +0800] "GET /hrsys/system/dict.html HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:07 +0800] "GET /hrsys/resource/js/dict.js HTTP/1.1" 200 5433
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:10:07 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
